"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Aug 22 16:00:58 GMT 2025","Fri Aug 22 16:00:59 GMT 2025","1807","chromium","firstTest.spec.ts","","","","user facing locators",""
"passed","Fri Aug 22 16:03:51 GMT 2025","Fri Aug 22 16:03:56 GMT 2025","4368","firefox","firstTest.spec.ts","","","","assertions",""
"passed","Fri Aug 22 16:01:03 GMT 2025","Fri Aug 22 16:01:05 GMT 2025","1765","chromium","firstTest.spec.ts","","","","reuse locators",""
"passed","Thu Aug 28 08:22:43 GMT 2025","Thu Aug 28 08:22:46 GMT 2025","3335","firefox","uiComponents.spec.ts","Form Layouts page","","","browser dialog @regression",""
"passed","Fri Aug 22 16:02:52 GMT 2025","Fri Aug 22 16:02:54 GMT 2025","2010","chromium","uiComponents.spec.ts","Form Layouts page","","","checkboxes",""
"passed","Fri Aug 22 16:03:09 GMT 2025","Fri Aug 22 16:03:11 GMT 2025","2243","chromium","uiComponents.spec.ts","Form Layouts page","","","datepicker tomorrow",""
"passed","Fri Aug 22 16:01:25 GMT 2025","Fri Aug 22 16:01:44 GMT 2025","18608","chromium","firstTest.spec.ts","","","","ajax locator timeout",""
"passed","Fri Aug 22 16:03:28 GMT 2025","Fri Aug 22 16:03:34 GMT 2025","5444","firefox","firstTest.spec.ts","","","","user facing locators",""
"passed","Thu Aug 28 08:20:41 GMT 2025","Thu Aug 28 08:20:46 GMT 2025","4647","firefox","testMobile.spec.ts","","","","input fields @smoke",""
"passed","Wed Aug 27 14:42:54 GMT 2025","Wed Aug 27 14:43:08 GMT 2025","14561","firefox","uiComponents.spec.ts","dragdrop with iframes","","","iframe",""
"passed","Fri Aug 22 16:06:33 GMT 2025","Fri Aug 22 16:06:39 GMT 2025","5841","firefox","uiComponents.spec.ts","Form Layouts page","","","tables",""
"passed","Wed Aug 27 14:42:44 GMT 2025","Wed Aug 27 14:42:51 GMT 2025","7728","chromium","uiComponents.spec.ts","dragdrop with iframes","","","iframe",""
"passed","Fri Aug 22 16:05:18 GMT 2025","Fri Aug 22 16:05:38 GMT 2025","20394","firefox","firstTest.spec.ts","increased action timeout","","","timeouts",""
"passed","Thu Aug 28 08:20:31 GMT 2025","Thu Aug 28 08:20:39 GMT 2025","7345","chromium","testMobile.spec.ts","","","","input fields @smoke",""
"passed","Fri Aug 22 16:03:38 GMT 2025","Fri Aug 22 16:03:43 GMT 2025","4439","firefox","firstTest.spec.ts","","","","locating parents",""
"failed","Thu Aug 28 08:22:30 GMT 2025","Thu Aug 28 08:22:33 GMT 2025","3168","firefox","testWithFixtures.spec.ts","","","","parameterized methods with POM fixture @regression",""
"passed","Thu Aug 28 08:20:39 GMT 2025","Thu Aug 28 08:20:41 GMT 2025","1772","chromium","usingPageObjects.spec.ts","","","","navigate to forms page @smoke",""
"passed","Fri Aug 22 16:04:57 GMT 2025","Fri Aug 22 16:05:18 GMT 2025","20598","firefox","firstTest.spec.ts","","","","ajax waitForResponse",""
"passed","Fri Aug 22 16:03:56 GMT 2025","Fri Aug 22 16:04:16 GMT 2025","20600","firefox","firstTest.spec.ts","","","","ajax waitFor state",""
"passed","Fri Aug 22 16:06:58 GMT 2025","Fri Aug 22 16:07:03 GMT 2025","5312","firefox","uiComponents.spec.ts","Form Layouts page","","","temp slider",""
"passed","Fri Aug 22 16:01:08 GMT 2025","Fri Aug 22 16:01:25 GMT 2025","17290","chromium","firstTest.spec.ts","","","","ajax waitFor state",""
"passed","Fri Aug 22 16:02:46 GMT 2025","Fri Aug 22 16:02:49 GMT 2025","3162","chromium","uiComponents.spec.ts","Form Layouts page","","","input fields",""
"passed","Thu Aug 28 08:22:34 GMT 2025","Thu Aug 28 08:22:39 GMT 2025","4663","firefox","uiComponents.spec.ts","Form Layouts page","","","test with argos.ci @regression",""
"passed","Fri Aug 22 16:03:04 GMT 2025","Fri Aug 22 16:03:09 GMT 2025","4363","chromium","uiComponents.spec.ts","Form Layouts page","","","search and validate",""
"skipped","Fri Aug 22 16:03:09 GMT 2025","Fri Aug 22 16:03:09 GMT 2025","1","chromium","uiComponents.spec.ts","Form Layouts page","","","datepicker",""
